id_user,date,hours,id_item,price,qty
17850,2010/12/01,08:26,85123A,2.55,6
17850,2010/12/01,08:26,71053,3.39,6
17850,2010/12/01,08:26,84406B,2.75,8
17850,2010/12/01,08:26,84029G,3.39,6
17850,2010/12/01,08:26,84029E,3.39,6
17850,2010/12/01,08:26,22752,7.65,2
17850,2010/12/01,08:26,21730,4.25,6
17850,2010/12/01,08:28,22633,1.85,6
17850,2010/12/01,08:28,22632,1.85,6
13047,2010/12/01,08:34,84879,1.69,32
13047,2010/12/01,08:34,22745,2.1,6
13047,2010/12/01,08:34,22748,2.1,6
13047,2010/12/01,08:34,22749,3.75,8
13047,2010/12/01,08:34,22310,1.65,6
13047,2010/12/01,08:34,84969,4.25,6
13047,2010/12/01,08:34,22623,4.95,3
13047,2010/12/01,08:34,22622,9.95,2
13047,2010/12/01,08:34,21754,5.95,3
13047,2010/12/01,08:34,21755,5.95,3
13047,2010/12/01,08:34,21777,7.95,4
13047,2010/12/01,08:34,48187,7.95,4
13047,2010/12/01,08:34,22960,4.25,6
13047,2010/12/01,08:34,22913,4.95,3
13047,2010/12/01,08:34,22912,4.95,3
13047,2010/12/01,08:34,22914,4.95,3
13047,2010/12/01,08:35,21756,5.95,3
12583,2010/12/01,08:45,22728,3.75,24
12583,2010/12/01,08:45,22727,3.75,24
12583,2010/12/01,08:45,22726,3.75,12
12583,2010/12/01,08:45,21724,0.85,12
12583,2010/12/01,08:45,21883,0.65,24
12583,2010/12/01,08:45,10002,0.85,48
12583,2010/12/01,08:45,21791,1.25,24
12583,2010/12/01,08:45,21035,2.95,18
12583,2010/12/01,08:45,22326,2.95,24
12583,2010/12/01,08:45,22629,1.95,24
12583,2010/12/01,08:45,22659,1.95,24
12583,2010/12/01,08:45,22631,1.95,24
12583,2010/12/01,08:45,22661,0.85,20
12583,2010/12/01,08:45,21731,1.65,24
12583,2010/12/01,08:45,22900,2.95,24
12583,2010/12/01,08:45,21913,3.75,12
12583,2010/12/01,08:45,22540,0.42,24
12583,2010/12/01,08:45,22544,0.42,24
12583,2010/12/01,08:45,22492,0.65,36
12583,2010/12/01,08:45,POST,18.0,3
13748,2010/12/01,09:00,22086,2.55,80
17850,2010/12/01,09:01,22632,1.85,6
17850,2010/12/01,09:01,22633,1.85,6
17850,2010/12/01,09:02,85123A,2.55,6
17850,2010/12/01,09:02,71053,3.39,6
17850,2010/12/01,09:02,84406B,2.75,8
17850,2010/12/01,09:02,20679,4.95,6
17850,2010/12/01,09:02,37370,1.06,6
17850,2010/12/01,09:02,21871,1.06,6
